bookId;genres
47281;historical-fiction&young-adult&fiction&classics&childrens&historical&middle-grade&holocaust&school&world-war-ii
46799;young-adult&fiction&classics&contemporary&mental-health&realistic-fiction&banned-books&teen&coming-of-age&psychology
46654;science-fiction&fiction&classics&science-fiction-fantasy&fantasy&space-opera&literature&novels&speculative-fiction&space
46456;fiction&feminism&classics&womens&novels&contemporary&literature&gender&20th-century&adult
46231;poetry&short-stories&fiction&classics&humor&essays&literature&20th-century&anthologies&womens
46201;poetry&classics&german-literature&literature&fiction&philosophy&20th-century&germany&religion&adult
46199;philosophy&writing&german-literature&essays&literature&classics&fiction&poetry&audiobook&germany
46170;classics&fiction&historical-fiction&literature&war&novels&american&spain&classic-literature&literary-fiction
46165;classics&fiction&literature&novels&american&romance&historical-fiction&20th-century&classic-literature&literary-fiction
46164;classics&fiction&literature&romance&american&novels&20th-century&literary-fiction&france&modern-classics
45195;classics&fiction&india&historical-fiction&literature&novels&british-literature&20th-century&historical&literary-fiction
43945;fiction&classics&novels&literature&american&humor&jewish&literary-fiction&the-united-states-of-america&20th-century
43916;fantasy&fiction&epic-fantasy&high-fantasy&magic&science-fiction-fantasy&adventure&young-adult&epic&childrens
43889;fantasy&fiction&epic-fantasy&high-fantasy&science-fiction-fantasy&magic&adventure&romance&adult&epic
43814;horror&fantasy&vampires&fiction&paranormal&supernatural&gothic&urban-fantasy&historical-fiction&adult
43763;horror&fantasy&fiction&vampires&paranormal&classics&gothic&supernatural&historical-fiction&urban-fantasy
43758;horror&fantasy&vampires&fiction&paranormal&supernatural&urban-fantasy&gothic&adult&science-fiction-fantasy
43615;fantasy&fiction&horror&science-fiction&westerns&audiobook&adventure&science-fiction-fantasy&thriller&post-apocalyptic
43545;fantasy&classics&fiction&historical-fiction&arthurian&mythology&young-adult&science-fiction-fantasy&literature&historical
43448;fiction&horror&young-adult&classics&mystery&gothic&thriller&romance&drama&adult
43035;classics&fiction&adventure&animals&young-adult&historical-fiction&literature&childrens&novels&american
42697;historical-fiction&fiction&classics&historical&israel&jewish&war&novels&literature&holocaust
42696;historical-fiction&fiction&ireland&historical&irish-literature&classics&war&novels&literature&adult-fiction
42692;historical-fiction&fiction&holocaust&historical&world-war-ii&war&jewish&classics&poland&literature
42603;non-fiction&history&memoir&classics&biography&race&african-american&sociology&biography-memoir&autobiography
41804;science-fiction&fiction&classics&short-stories&science-fiction-fantasy&fantasy&robots&audiobook&novels&speculative-fiction
41681;classics&fiction&historical-fiction&literature&politics&school&novels&historical&banned-books&classic-literature
40425;classics&fiction&adventure&fantasy&africa&pulp&science-fiction&historical-fiction&literature&novels
40189;travel&non-fiction&memoir&france&biography&food&humor&biography-memoir&autobiography&travelogue
40024;historical-fiction&mystery&fiction&thriller&crime&historical&mystery-thriller&horror&historical-mystery&suspense
39988;childrens&fiction&classics&fantasy&middle-grade&young-adult&humor&audiobook&magic&school
39926;feminism&non-fiction&sociology&psychology&womens&gender&gender-studies&politics&philosophy&self-help
